study_accession	sample_accession	sample_title	sample_alias	run_accession	library_layout	read_count	submitted_bytes	fastq_bytes	fastq_ftp
PRJEB4336	SAMEA2143941	Stool sample from danish	MetaHIT-MH0001	ERR321062	PAIRED	11640056	448786824;524026637	491570547;565915373	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321062/ERR321062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321062/ERR321062_2.fastq.gz
PRJEB4336	SAMEA2143941	Stool sample from danish	MetaHIT-MH0001	ERR321063	PAIRED	10867405	443309782;447218473	482729440;486293576	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321063/ERR321063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321063/ERR321063_2.fastq.gz
PRJEB4336	SAMEA2155030	Stool sample from danish	MetaHIT-MH0002	ERR321064	PAIRED	4189308	144527269;150327202	160700399;166351318	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321064/ERR321064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321064/ERR321064_2.fastq.gz
PRJEB4336	SAMEA2155030	Stool sample from danish	MetaHIT-MH0002	ERR321065	PAIRED	11165183	819699247;887997410	861039749;933532815	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321065/ERR321065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321065/ERR321065_2.fastq.gz
PRJEB4336	SAMEA2155030	Stool sample from danish	MetaHIT-MH0002	ERR321066	PAIRED	7927536	518496517;514359424	546762919;542310319	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321066/ERR321066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321066/ERR321066_2.fastq.gz
PRJEB4336	SAMEA2149557	Stool sample from danish	MetaHIT-MH0003	ERR321067	PAIRED	4477312	163558919;178412925	180602681;195311926	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321067/ERR321067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321067/ERR321067_2.fastq.gz
PRJEB4336	SAMEA2149557	Stool sample from danish	MetaHIT-MH0003	ERR321068	PAIRED	10856019	766511634;847915067	805401797;891423633	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321068/ERR321068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321068/ERR321068_2.fastq.gz
PRJEB4336	SAMEA2149557	Stool sample from danish	MetaHIT-MH0003	ERR321069	PAIRED	9857500	787005367;784010824	826894516;823862233	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321069/ERR321069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321069/ERR321069_2.fastq.gz
PRJEB4336	SAMEA2158594	Stool sample from danish	MetaHIT-MH0004	ERR321070	PAIRED	10807997	406841749;461051821	446342216;499643848	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321070/ERR321070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321070/ERR321070_2.fastq.gz
PRJEB4336	SAMEA2158594	Stool sample from danish	MetaHIT-MH0004	ERR321071	PAIRED	9330516	331685004;324353492	365513531;358152772	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321071/ERR321071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321071/ERR321071_2.fastq.gz
