study_accession,sample_accession,sample_name,run_accession,read_count,fastq_ftp
PRJEB1786,SAMEA1906452,304,ERR260132,13644455,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260132/ERR260132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260132/ERR260132_2.fastq.gz
PRJEB1786,SAMEA1906536,305,ERR260133,13188795,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260133/ERR260133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260133/ERR260133_2.fastq.gz
PRJEB1786,SAMEA1906542,312,ERR260134,73997021,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260134/ERR260134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260134/ERR260134_2.fastq.gz
PRJEB1786,SAMEA1906527,317,ERR260135,69214430,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260135/ERR260135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260135/ERR260135_2.fastq.gz
PRJEB1786,SAMEA1906516,327,ERR260136,12819056,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260136/ERR260136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260136/ERR260136_2.fastq.gz
PRJEB1786,SAMEA1906573,330,ERR260137,9616071,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260137/ERR260137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260137/ERR260137_2.fastq.gz
PRJEB1786,SAMEA1906552,332,ERR260138,16984719,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260138/ERR260138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260138/ERR260138_2.fastq.gz
PRJEB1786,SAMEA1906465,334,ERR260139,10082557,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260139/ERR260139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260139/ERR260139_2.fastq.gz
PRJEB1786,SAMEA1906489,344,ERR260140,9583450,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260140/ERR260140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260140/ERR260140_2.fastq.gz
PRJEB1786,SAMEA1906485,347,ERR260141,12319817,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260141/ERR260141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260141/ERR260141_2.fastq.gz
PRJEB1786,SAMEA1906416,349,ERR260142,12141637,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260142/ERR260142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260142/ERR260142_2.fastq.gz
PRJEB1786,SAMEA1906434,350,ERR260143,14104678,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260143/ERR260143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260143/ERR260143_2.fastq.gz
PRJEB1786,SAMEA1906558,353,ERR260144,12296547,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260144/ERR260144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260144/ERR260144_2.fastq.gz
PRJEB1786,SAMEA1906582,354,ERR260145,14020464,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260145/ERR260145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260145/ERR260145_2.fastq.gz
PRJEB1786,SAMEA1906496,356,ERR260146,13887706,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260146/ERR260146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260146/ERR260146_2.fastq.gz
PRJEB1786,SAMEA1906490,365,ERR260147,13969150,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260147/ERR260147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260147/ERR260147_2.fastq.gz
PRJEB1786,SAMEA1906457,367,ERR260148,10939897,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260148/ERR260148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260148/ERR260148_2.fastq.gz
PRJEB1786,SAMEA1906437,370,ERR260149,15256432,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260149/ERR260149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260149/ERR260149_2.fastq.gz
PRJEB1786,SAMEA1906419,372,ERR260150,15066005,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260150/ERR260150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260150/ERR260150_2.fastq.gz
PRJEB1786,SAMEA1906571,378,ERR260151,13021937,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260151/ERR260151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260151/ERR260151_2.fastq.gz
PRJEB1786,SAMEA1906580,380,ERR260152,8978017,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260152/ERR260152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260152/ERR260152_2.fastq.gz
PRJEB1786,SAMEA1906560,381,ERR260153,13917531,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260153/ERR260153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260153/ERR260153_2.fastq.gz
PRJEB1786,SAMEA1906541,384,ERR260154,12303619,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260154/ERR260154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260154/ERR260154_2.fastq.gz
PRJEB1786,SAMEA1906505,389,ERR260155,12747678,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260155/ERR260155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260155/ERR260155_2.fastq.gz
PRJEB1786,SAMEA1906518,393,ERR260156,8336203,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260156/ERR260156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260156/ERR260156_2.fastq.gz
PRJEB1786,SAMEA1906578,395,ERR260157,11662077,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260157/ERR260157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260157/ERR260157_2.fastq.gz
PRJEB1786,SAMEA1906561,397,ERR260158,10430096,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260158/ERR260158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260158/ERR260158_2.fastq.gz
PRJEB1786,SAMEA1906435,398,ERR260159,10829700,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260159/ERR260159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260159/ERR260159_2.fastq.gz
PRJEB1786,SAMEA1906423,420,ERR260160,11551787,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260160/ERR260160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260160/ERR260160_2.fastq.gz
PRJEB1786,SAMEA1906482,421,ERR260161,21446178,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260161/ERR260161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260161/ERR260161_2.fastq.gz
PRJEB1786,SAMEA1906450,422,ERR260162,30725670,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260162/ERR260162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260162/ERR260162_2.fastq.gz
PRJEB1786,SAMEA1906470,424,ERR260163,15933285,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260163/ERR260163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260163/ERR260163_2.fastq.gz
PRJEB1786,SAMEA1906537,432,ERR260164,17467406,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260164/ERR260164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260164/ERR260164_2.fastq.gz
PRJEB1786,SAMEA1906512,434,ERR260165,23098980,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260165/ERR260165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260165/ERR260165_2.fastq.gz
PRJEB1786,SAMEA1906469,436,ERR260166,21761858,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260166/ERR260166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260166/ERR260166_2.fastq.gz
PRJEB1786,SAMEA1906456,439,ERR260167,21530642,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260167/ERR260167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260167/ERR260167_2.fastq.gz
PRJEB1786,SAMEA1906480,441,ERR260168,23153521,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260168/ERR260168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260168/ERR260168_2.fastq.gz
PRJEB1786,SAMEA1906421,446,ERR260169,9508688,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260169/ERR260169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260169/ERR260169_2.fastq.gz
PRJEB1786,SAMEA1906441,451,ERR260170,15149519,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260170/ERR260170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260170/ERR260170_2.fastq.gz
PRJEB1786,SAMEA1906568,456,ERR260171,28856602,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260171/ERR260171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260171/ERR260171_2.fastq.gz
PRJEB1786,SAMEA1906547,457,ERR260172,27045497,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260172/ERR260172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260172/ERR260172_2.fastq.gz
PRJEB1786,SAMEA1906529,458,ERR260173,29783259,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260173/ERR260173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260173/ERR260173_2.fastq.gz
PRJEB1786,SAMEA1906540,462,ERR260174,22560827,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260174/ERR260174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260174/ERR260174_2.fastq.gz
PRJEB1786,SAMEA1906522,463,ERR260175,15849917,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260175/ERR260175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260175/ERR260175_2.fastq.gz
PRJEB1786,SAMEA1906583,468,ERR260176,18528492,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260176/ERR260176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260176/ERR260176_2.fastq.gz
